text,label
"Будут жертвы, но это необходимое зло. Приказ — действовать. в ближайшее время Сообщение отправлено. Подтверждение получено. Время изменения: 15:30. Изменения применены. Проверка безопасности завершена. Нет аномалий. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Сообщение отправлено. Подтверждение получено. Проверка безопасности завершена. Нет аномалий.",1
Срочно! Закладка бомбы в метро. Все покинуть станцию. подтверждено Время изменения: 15:30. Изменения применены. Система работает стабильно. Все процессы контролируются. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Проверка безопасности завершена. Нет аномалий. Сообщение отправлено. Подтверждение получено.,1
Ваш аккаунт активирован. на следующей неделе Время изменения: 15:30. Изменения применены.,0
Я не могу прийти — болею. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Система работает стабильно. Все процессы контролируются. Сообщение отправлено. Подтверждение получено. Система работает стабильно. Все процессы контролируются.,0
"Мы не боимся смерти, мы идём в бой. Сигнал получен.",1
"Твоя жизнь уже не твоя. Ты знаешь, к чему это приведёт. по данным аналитики",1
Данные по пользовательской активности собраны. Сообщение отправлено. Подтверждение получено. Сообщение отправлено. Подтверждение получено. Проверка безопасности завершена. Нет аномалий.,0
Смартфон заряжается медленно — проверь зарядку.. Смотрите отчёт в конце. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Сообщение отправлено. Подтверждение получено. Сообщение отправлено. Подтверждение получено. Сообщение отправлено. Подтверждение получено. Проверка безопасности завершена. Нет аномалий.,0
Взрывчатка установлена в автобусе №12. Всем покинуть транспорт. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Время изменения: 15:30. Изменения применены. Система работает стабильно. Все процессы контролируются. Проверка безопасности завершена. Нет аномалий.,1
Я не могу прийти — болею.. Смотрите отчёт в конце. Система работает стабильно. Все процессы контролируются. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Время изменения: 15:30. Изменения применены. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно!,0
Сегодня праздник — у всех хорошее настроение. Проверка безопасности завершена. Нет аномалий. Проверка безопасности завершена. Нет аномалий. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно!,0
Контракт подписан и отправлен на электронную почту. согласовано,0
"Наша цель — хаос и разрушение. Мы не хотим мир, мы хотим войны.",1
Атака будет проведена в аэропорту. Используйте взрывчатку. в соответствии с планом Проверка безопасности завершена. Нет аномалий. Время изменения: 15:30. Изменения применены. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Проверка безопасности завершена. Нет аномалий. Система работает стабильно. Все процессы контролируются.,1
Ваш аккаунт активирован. согласовано,0
Цель — здание правительства. Время — 18:30. Все готовы. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно!,1
Резервная копия создана успешно.. Смотрите отчёт в конце. Время изменения: 15:30. Изменения применены. Время изменения: 15:30. Изменения применены. Сообщение отправлено. Подтверждение получено. Проверка безопасности завершена. Нет аномалий.,0
Безжалостная война — это наш путь. Никто не останется невредимым. Время изменения: 15:30. Изменения применены. Сообщение отправлено. Подтверждение получено. Время изменения: 15:30. Изменения применены. Сообщение отправлено. Подтверждение получено. Система работает стабильно. Все процессы контролируются.,1
Статистика по посещаемости: 85%. подтверждено Система работает стабильно. Все процессы контролируются. Время изменения: 15:30. Изменения применены.,0
Спасибо за участие в вебинаре! с учетом всех факторов,0
Время изменения: 15:30. Изменения применены. Сообщение отправлено. Подтверждение получено. Система работает стабильно. Все процессы контролируются.,0
"Если не сделаешь, что нужно, то не думай, что сможешь оставаться в живых. на следующей неделе",1
"Ты можешь надеяться, что мы оставим тебя в покое, но это не так. Время изменения: 15:30. Изменения применены. Сообщение отправлено. Подтверждение получено. Проверка безопасности завершена. Нет аномалий. Сообщение отправлено. Подтверждение получено. Сообщение отправлено. Подтверждение получено. Система работает стабильно. Все процессы контролируются. Время изменения: 15:30. Изменения применены. Система работает стабильно. Все процессы контролируются.",1
"Купи хлеб, пожалуйста. Остался последний.",0
Мы благодарим вас за сотрудничество. на следующей неделе Система работает стабильно. Все процессы контролируются.,0
Сегодня я купил билеты на концерт.. Ссылка на документ.,0
"Ты не сможешь убежать, потому что мы уже знаем, куда ты пойдёшь. в связи с событиями Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Система работает стабильно. Все процессы контролируются. Время изменения: 15:30. Изменения применены. Проверка безопасности завершена. Нет аномалий. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Проверка безопасности завершена. Нет аномалий. Сообщение отправлено. Подтверждение получено. Проверка безопасности завершена. Нет аномалий. Время изменения: 15:30. Изменения применены. Проверка безопасности завершена. Нет аномалий.",1
"Ты должен понять: мы не остановимся, пока не добьёмся всего. внесено в систему",1
"Хочу тебя увидеть, сегодня в 19:00.",0
Взрывчатка установлена в автобусе №12. Всем покинуть транспорт.,1
Сегодняшний день прошёл спокойно. в связи с событиями,0
Готовимся к масштабному теракту в здании правительства. Система работает стабильно. Все процессы контролируются. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Система работает стабильно. Все процессы контролируются.,1
Качество связи улучшено.,0
Мы не боимся смерти. Мы идём в бой. Это наша судьба. по данным аналитики Проверка безопасности завершена. Нет аномалий. Проверка безопасности завершена. Нет аномалий. Система работает стабильно. Все процессы контролируются. Система работает стабильно. Все процессы контролируются. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Система работает стабильно. Все процессы контролируются. Проверка безопасности завершена. Нет аномалий. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Сообщение отправлено. Подтверждение получено.,1
Мы знаем все твои слабые места. Не пытайся убежать.,1
Информация о платеже подтверждена.,0
Новый рекорд установлен.,0
"Люди будут в шоке, когда увидят результат. Цель — мост. Время изменения: 15:30. Изменения применены. Система работает стабильно. Все процессы контролируются. Система работает стабильно. Все процессы контролируются. Система работает стабильно. Все процессы контролируются. Проверка безопасности завершена. Нет аномалий. Время изменения: 15:30. Изменения применены.",1
Закладка бомбы в подвале торгового центра. Срочно эвакуируйте людей.,1
"Мы знаем, где ты живёшь. Не пытайся скрыться. внесено в систему Сообщение отправлено. Подтверждение получено. Время изменения: 15:30. Изменения применены. Сообщение отправлено. Подтверждение получено. Проверка безопасности завершена. Нет аномалий. Проверка безопасности завершена. Нет аномалий. Время изменения: 15:30. Изменения применены. Сообщение отправлено. Подтверждение получено. Система работает стабильно. Все процессы контролируются.",1
Срок действия истекает через 7 дней. Время изменения: 15:30. Изменения применены. Сообщение отправлено. Подтверждение получено. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Проверка безопасности завершена. Нет аномалий.,0
Срок действия истекает через 7 дней. в соответствии с планом,0
Мы знаем все твои слабые места. Не пытайся убежать.,1
Сегодня я купил билеты на концерт. Система работает стабильно. Все процессы контролируются. Система работает стабильно. Все процессы контролируются. Время изменения: 15:30. Изменения применены. Система работает стабильно. Все процессы контролируются.,0
Фанаты радуются после победы. по результатам анализа,0
"Если не сделаешь, что нужно, то не думай, что сможешь оставаться в живых. на следующей неделе Время изменения: 15:30. Изменения применены. Время изменения: 15:30. Изменения применены. Система работает стабильно. Все процессы контролируются. Сообщение отправлено. Подтверждение получено. Время изменения: 15:30. Изменения применены. Проверка безопасности завершена. Нет аномалий. Система работает стабильно. Все процессы контролируются. Проверка безопасности завершена. Нет аномалий. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно!",1
Мы знаем все твои слабые места. Не пытайся убежать. по результатам анализа,1
Резервное копирование выполнено успешно.,0
Бомба в аэропорту. Все самолёты — отменить вылеты. согласовано,1
Каждый из нас — солдат. Мы идём на бой. Смерть — часть пути. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Проверка безопасности завершена. Нет аномалий. Время изменения: 15:30. Изменения применены. Проверка безопасности завершена. Нет аномалий.,1
Мы не боимся смерти. Мы идём в бой. Это наша судьба.,1
Средняя скорость обработки: 120 мс. Сообщение отправлено. Подтверждение получено. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно!,0
Сигнал получен. Начинаем операцию. Необходимо устранить всех. в ближайшее время Время изменения: 15:30. Изменения применены. Система работает стабильно. Все процессы контролируются. Время изменения: 15:30. Изменения применены. Сообщение отправлено. Подтверждение получено. Сообщение отправлено. Подтверждение получено. Система работает стабильно. Все процессы контролируются.,1
Сервер перезагружен. Время работы восстановлено. на следующей неделе,0
Трансляция начнётся через 10 минут. в течение часа Время изменения: 15:30. Изменения применены. Проверка безопасности завершена. Нет аномалий. Проверка безопасности завершена. Нет аномалий. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно!,0
"Если ты не сделаешь, что требуется, то не думай, что мы позволим тебе уйти. Система работает стабильно. Все процессы контролируются. Время изменения: 15:30. Изменения применены. Проверка безопасности завершена. Нет аномалий. Проверка безопасности завершена. Нет аномалий. Система работает стабильно. Все процессы контролируются. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Проверка безопасности завершена. Нет аномалий. Время изменения: 15:30. Изменения применены.",1
Закладка в метро. Время — 20:00. Все должны покинуть станцию.,1
Проверка интеграции завершена.,0
Закладка в банке. Время — 16:30. Все покинуть здание. Проверка безопасности завершена. Нет аномалий. Система работает стабильно. Все процессы контролируются. Проверка безопасности завершена. Нет аномалий.,1
"Ты не сможешь убежать, потому что мы уже знаем, куда ты пойдёшь. подтверждено Система работает стабильно. Все процессы контролируются.",1
"Сегодня мы покажем им, кто здесь хозяин. Массовая атака началась.",1
"Будут жертвы, но это необходимое зло. Приказ — действовать. Сообщение отправлено. Подтверждение получено. Сообщение отправлено. Подтверждение получено. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Время изменения: 15:30. Изменения применены. Время изменения: 15:30. Изменения применены. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно!",1
"Нет места для ошибок. Если не выполнишь, то всё будет кончено.",1
Вы получили доступ к новому сервису. с учетом всех факторов,0
Сегодня вечером в центре города будет взрыв. Все участники готовы.,1
Ошибка в API: код 500. Перезапуск выполнен. в течение часа,0
"Купи хлеб, пожалуйста. Остался последний.",0
Атака будет проведена в аэропорту. Используйте взрывчатку. в ближайшее время Сообщение отправлено. Подтверждение получено. Проверка безопасности завершена. Нет аномалий. Сообщение отправлено. Подтверждение получено. Система работает стабильно. Все процессы контролируются. Время изменения: 15:30. Изменения применены.,1
"Твоя семья будет в безопасности только тогда, когда ты выполнишь наше требование. Система работает стабильно. Все процессы контролируются. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Время изменения: 15:30. Изменения применены. Время изменения: 15:30. Изменения применены. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно!",1
Ваше сообщение принято.,0
Спасибо за помощь вчера. с сегодняшнего дня Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Проверка безопасности завершена. Нет аномалий. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Сообщение отправлено. Подтверждение получено.,0
"Ты должен понять: мы не остановимся, пока не добьёмся всего. Проверка безопасности завершена. Нет аномалий. Проверка безопасности завершена. Нет аномалий. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно!",1
"Уважаемый клиент, ваш заказ доставлен. по данным аналитики",0
Закладка бомбы в подвале торгового центра. Срочно эвакуируйте людей. Сообщение отправлено. Подтверждение получено. Система работает стабильно. Все процессы контролируются.,1
Отчёт по серверной нагрузке: норма. с сегодняшнего дня,0
"Привет! Как дела? Позвони, когда сможешь. Сообщение отправлено. Подтверждение получено. Сообщение отправлено. Подтверждение получено. Сообщение отправлено. Подтверждение получено. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно!",0
Сообщение от команды: бомба в офисе. Эвакуация — сейчас. Система работает стабильно. Все процессы контролируются. Система работает стабильно. Все процессы контролируются. Сообщение отправлено. Подтверждение получено. Сообщение отправлено. Подтверждение получено. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно!,1
Радикальная борьба продолжается. Выживут только сильные. Проверка безопасности завершена. Нет аномалий. Проверка безопасности завершена. Нет аномалий.,1
Проверка безопасности завершена. согласовано,0
Система работает стабильно.,0
Ошибка в API: код 500. Перезапуск выполнен. Время изменения: 15:30. Изменения применены. Проверка безопасности завершена. Нет аномалий. Проверка безопасности завершена. Нет аномалий. Срочно! Взрывчатка в здании. Эвакуируйтесь немедленно! Сообщение отправлено. Подтверждение получено.,0
